RAW;site;name;sample;treatments;code;years;forest_type;slope_position;aspect;precipitation;slope;soil_initial;dry_soil;soil_accumulated;soil_kg;area (m2);soil_area;sieved;percentage_initial_sieved;percentage_accumulated;species_richness;total_seeds ;seeds_area;tree_seeds;shrub_seeds;unknown_seeds;Notant;Auschi;Notdom;Pinpon;Discha;Mayboa;Schpat;Oviand;Arichi;Diojun;Ber sp.;Alsaur;Vicnig;;;Non identified (intact);Muehas (fruit);brokpinpon;BrokenSchpat;BrokenOviand;non identified 3-4mm (broken);non identified 2-3mm (broken);;
11;4;Golondrinas;GB0;unburned;CG;u-2021;cip_coi;middle;south;1236.2;29;;820.2;820.2;0.8202;0.03;27.34;156.4;19.07;0.00;4;70;2333;35;35;0;;33;2;;;;1;;34;;;;;;;;;;;;27;;;
12;4;Golondrinas;GA0;unburned;CG;u-2021;cip_coi;low;south;1236.2;29;;830.2;830.2;0.8302;0.03;27.67333333;188.8;22.74;0.00;5;121;4033;77;44;0;;76;1;;;;3;;41;;;;;;;;;;;;26;;;
13;5;Steffen;SA1;unburned;CS;u-2022;cip_coi;upper;south;1741.2;7;;235.1;235.1;0.2351;0.03;7.836666667;82.1;34.92;0.00;3;34;1133;3;31;0;;;;;;3;;;30;1;;;;;;;;;;;24;;;
14;5;Steffen;SA2;unburned;CS;u-2022;cip_coi;upper;south;1741.2;6;;201.7;201.7;0.2017;0.03;6.723333333;109.1;54.09;0.00;4;36;1200;2;34;0;;1;;;;1;;;16;18;;;;;;;;;;;44;;;
15;5;Steffen;SA3;unburned;CS;u-2022;cip_coi;upper;south;1741.2;12;;239.7;239.7;0.2397;0.03;7.99;99.3;41.43;0.00;4;88;2933;1;87;0;;;1;;;;;;51;34;2;;;;;;;;;;44;;;
16;6;Steffen;MA0;unburned;CM;u-2022;nire_cip;upper;southwest;1749.6;17;;427.5;427.5;0.4275;0.03;14.25;163.4;38.22;0.00;5;171;5700;163;8;0;;154;7;;;2;1;;7;;;;;;;;;;;;21;;;
17;6;Steffen;MB0;unburned;CM;u-2022;nire_cip;middle;southwest;1749.6;20;;203.8;203.8;0.2038;0.03;6.793333333;62.1;30.47;0.00;5;54;1800;19;35;0;;19;;;;;5;;26;4;;;;;;;;;;;14;7;;
18;6;Steffen;MC0;unburned;CM;u-2022;nire_cip;low;southwest;1749.6;19;;218.2;218.2;0.2182;0.03;7.273333333;75.8;34.74;0.00;6;73;2433;24;49;0;;18;;;;6;7;;42;;;;;;;;;;1;;33;;;
19;7;Cholila;CA1;burned;C;b-2015;nire_cip;upper;south;1497;33;1778.4;1165.4;1165.4;1.1654;0.03;38.84666667;205.5;17.63;65.53;7;27;900;0;22;5;;;;;;;3;3;15;;1;;;;;5;109;;;12;9;;;
20;7;Cholila;CB1;burned;C;b-2015;nire_cip;middle;south;1497;25;1509.1;1150.2;1150.2;1.1502;0.03;38.34;234.6;20.40;76.22;3;10;333;1;9;0;;1;;;;;;1;8;;;;;;;;824;;;9;;;;
21;7;Cholila;CC1;burned;C;b-2015;nire_cip;low;south;1497;25;1164.2;968.9;968.9;0.9689;0.03;32.29666667;188.3;19.43;83.22;6;28;933;1;20;5;;;;;;1;3;6;11;;;;2;;;5;2;;;2;4;2;;
22;7;Cholila;CA2;burned;C;b-2015;nire_cip;upper;south;1497;35;1738.1;1397.4;1397.4;1.3974;0.03;46.58;341.6;24.45;80.40;4;74;2467;0;70;1;;;;;;;;17;53;;;3;;;;1;3;;;27;109;;;
23;7;Cholila;CB2;burned;C;b-2015;nire_cip;middle;south;1497;27;1184.1;912.3;912.3;0.9123;0.03;30.41;240.4;26.35;77.05;4;43;1433;10;33;0;10;;;;;;1;3;29;;;;;;;;8;;;4;10;;;
24;7;Cholila;CC2;burned;C;b-2015;nire_cip;low;south;1497;32;2186.7;1784.1;1784.1;1.7841;0.03;59.47;470.3;26.36;81.59;7;19;633;3;8;8;2;;;;;1;2;1;5;;;;;;;8;5;;1;3;5;;;
25;7;Cholila;CA3;burned;C;b-2015;nire_cip;upper;south;1497;31;1257.2;1068.1;1068.1;1.0681;0.03;35.60333333;304.1;28.47;84.96;5;7;233;3;2;0;;3;;;;;;2;;;;1;1;;;;3;;;;3;;;
